GAM1_AND.ALMAAK    2  3 53  42 19 47
ALP__AND.ALPHERAT  0  8 23  29  5 25
BET__AND.MIRACH    1  9 43  35 37 13
BET__AQL.ALSHAIN  19 55 18   6 24 24
ALP__AQL.ALTAIR   19 50 47   8 52  6
GAM__AQL.TARAZED  19 46 15  10 36 47
ALP__AQR.SADALMEL 22  5 47   0 19 11
BET__AQR.SADALSUU 21 31 33  -5 34 16
ALP__ARI.HAMAL     2  7 10  23 27 44
BET__ARI.SHERATAN  1 54 38  20 48 28
ALP__AUR.CAPELLA   5 16 41  45 59 52
BET__AUR.MENKALIN  5 59 31  44 56 50
ALP__BOO.ARCTURUS 14 15 39  19 10 56
BET__BOO.NEKKAR   15  1 56  40 23 25
EPS__CAR.AVIOR     8 22 30 -59 30 34
ALP__CAR.CANOPUS   6 23 57 -52 41 44
BET__CAR.MIAPLACI  9 13 12 -69 43  2
BET__CAS.CAPH      0  9 10  59  8 59
DEL__CAS.RUCHBAH   1 25 48  60 14  7
ALP__CAS.SCHEDAR   0 40 30  56 32 14
BET__CEN.HADAR    14  3 49 -60 22 22
THE__CEN.MENKENT  14  6 40 -36 22 12
ALP__CEN.RIGEL_KE 14 39 36 -60 50  7
ALP__CEP.ALDERAMI 21 18 34  62 35  8
BET__CET.DIPHDA    0 43 35 -17 59 11
ALP__CET.MENKAR    3  2 16   4  5 22
EPS__CMA.ADHARA    6 58 37 -28 58 19
BET__CMA.MIRZAM    6 22 41 -17 57 21
ALP__CMA.SIRIUS    6 45  8 -16 42 58
DEL__CMA.WEZEN     7  8 23 -26 23 35
ALP__CMI.PROCYON   7 39 18   5 13 29
ALP__CNC.ACUBENS   8 58 29  11 51 27
ALP__COL.PHACT     5 39 38 -34  4 27
ALP__CRB.ALPHECCA 15 34 41  26 42 52
ALP1_CRU.ACRUX    12 26 36 -63  5 56
GAM__CRU.GACRUX   12 31  9 -57  6 47
BET__CRU.MIMOSA   12 47 43 -59 41 19
GAM__CRV.GIENAH   12 15 48 -17 32 31
ALP2_CVN.COR_CARO 12 56  1  38 19  6
BET1_CYG.ALBIREO  19 30 43  27 57 34
ALP__CYG.DENEB    20 41 25  45 16 49
GAM__DRA.ELTANIN  17 56 36  51 29 20
ALP__DRA.THUBAN   14  4 23  64 22 33
THE1_ERI.ACAMAR    2 58 15 -40 18 16
ALP__ERI.ACHERNAR  1 37 42 -57 14 12
BET__ERI.CURSA     5  7 50  -5  5 11
GAM__ERI.ZAURAK    3 58  1 -13 30 30
GAM__GEM.ALHENA    6 37 42  16 23 57
ALP__GEM.CASTOR    7 34 35  31 53 18
BET__GEM.POLLUX    7 45 18  28  1 34
DEL__GEM.WASAT     7 20  7  21 58 56
ALP__GRU.AL_NA'IR 22  8 14 -46 57 39
ALP__HYA.ALPHARD   9 27 35  -8 39 31
BET__LEO.DENEBOLA 11 49  3  14 34 19
ALP__LEO.REGULUS  10  8 22  11 58  1
DEL__LEO.ZOSMA    11 14  6  20 31 25
ALP__LEP.ARNEB     5 32 43 -17 49 20
BET__LEP.NIHAL     5 28 14 -20 45 34
ALP2_LIB.ZUBENELG 14 50 52 -16  2 30
BET__LYR.SHELIAK  18 50  4  33 21 45
ALP__LYR.VEGA     18 36 56  38 47  1
ALP__OPH.RASALHAG 17 34 56  12 33 36
ETA__OPH.SABIK    17 10 22 -15 43 29
EPS__ORI.ALNILAM   5 36 12  -1 12  7
GAM__ORI.BELLATRI  5 25  7   6 20 58
ALP__ORI.BETELGEU  5 55 10   7 24 25
DEL__ORI.MINTAKA   5 32  0   0 17 56
BET__ORI.RIGEL     5 14 32  -8 12  6
KAP__ORI.SAIPH     5 47 45  -9 40 10
ALP__PAV.PEACOCK  20 25 38 -56 44  6
GAM__PEG.ALGENIB   0 13 14  15 11  0
EPS__PEG.ENIF     21 44 11   9 52 30
ALP__PEG.MARKAB   23  4 45  15 12 18
BET__PEG.SCHEAT   23  3 46  28  4 58
BET__PER.ALGOL     3  8 10  40 57 20
ALP__PER.MIRFAK    3 24 19  49 51 40
ALP__PHE.ANKAA     0 26 17 -42 18 21
ALP__PSA.FOMALHAU 22 57 39 -29 37 20
ALP__SCO.ANTARES  16 29 24 -26 25 55
DEL__SCO.DSCHUBBA 16  0 20 -22 37 18
BET1_SCO.GRAFFIAS 16  5 26 -19 48 19
THE__SCO.SARGAS   17 37 19 -42 59 51
LAM__SCO.SHAULA   17 33 36 -37  6 13
ALP__SER.UNUKALHA 15 44 16   6 25 32
EPS__SGR.KAUS_AUS 18 24 10 -34 23  4
SIG__SGR.NUNKI    18 55 15 -26 17 48
ALP__SGR.RUKBAT   19 23 53 -40 36 57
ETA__TAU.ALCYONE   3 47 29  24  6 18
ALP__TAU.ALDEBARA  4 35 55  16 30 33
BET__TAU.ELNATH    5 26 17  28 36 26
ALP__TRA.ATRIA    16 48 40 -69  1 39
EPS__UMA.ALIOTH   12 54  1  55 57 35
ETA__UMA.ALKAID   13 47 32  49 18 48
ALP__UMA.DUBHE    11  3 43  61 45  3
DEL__UMA.MEGREZ   12 15 25  57  1 57
BET__UMA.MERAK    11  1 50  56 22 56
ZET__UMA.MIZAR    13 23 55  54 55 31
GAM__UMA.PHECDA   11 53 49  53 41 41
BET__UMI.KOCHAB   14 50 42  74  9 19
ALP__UMI.POLARIS   2 31 49  89 15 50
GAM2_VEL.AL_SUHAI  8  9 31 -47 20 12
LAM__VEL.SUHAIL    9  7 59 -43 25 57
ALP__VIR.SPICA    13 25 11 -11  9 40
EPS__VIR.VINDEMIA 13  2 10  10 57 33
BET__VIR.ZAVIJAVA 11 50 41   1 45 52
