a.UMi-Polaris       2 31 50     89 15 54   
a.Per-Mirfak        3 24 19     49 51 43   
a.Tau-Alderbaran    4 35 55     16 30 30   
b.Ori-Rigel         5 14 32     -8 12  6   
a.Aur-Capella       5 16 41     45 59 54   
g.Ori-Bellatrix     5 25  8      6 21  0   
b.Tau-Elnath        5 26 18     28 36 30   
e.Ori-Alnilam       5 36 13     -1 12  6   
a.Ori-Betelgeuse    5 55 10      7 24  2   
a.CMa-Sirius        6 45  9    -16 43  0   
e.CMa-Adhara        6 58 38    -28 58 18   
a.Gem-Castor        7 34 36     31 53 18   
a.CMi-Procyon       7 39 18      5 13 30   
b.Gem-Pollux        7 45 19     28  1 36   
a.Leo-Regulus      10  8 22     11 58  0   
a.UMa-Dubhe        11  3 44     61 45  0   
a.Vir-Spica        13 25 12    -11  9 43   
a.Boo-Arcturus     14 15 40     19 11  0   
a.Sco-Antares      16 29 24    -26 25 54   
l.Sco-Shaula       17 33 36    -37  6 12   
a.Lyr-Vega         18 36 56     38 47  0   
a.Aql-Altair       19 50 47      8 52  6   
a.Cyg-Deneb        20 41 26     45 16 48   
a.Psa-Fomalhaut    22 57 39    -29 37 18  
